"bkz";"gkz";"name";"wber";"abg";"ung";"gueltig";"vp";"sp";"fp";"gr";"ne";"so"
101;10101;"Eisenstadt";11216;NA;NA;NA;NA;NA;NA;NA;NA;NA
102;10201;"Rust";1588;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;10301;"Breitenbrunn am Neusiedler See";1571;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;10302;"Donnerskirchen";1525;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;10303;"Großhöflein";1659;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;10304;"Hornstein";2469;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;10305;"Klingenbach";853;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;10306;"Leithaprodersdorf";1012;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;10307;"Mörbisch am See";1811;1470;26;1444;366;479;402;63;80;54
103;10308;"Müllendorf";1188;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;10309;"Neufeld an der Leitha";2725;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;10310;"Oggau am Neusiedler See";1429;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;10311;"Oslip";1065;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;10312;"Purbach am Neusiedler See";2421;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;10313;"Sankt Margarethen im Burgenland";2295;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;10314;"Schützen am Gebirge";1123;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;10315;"Siegendorf";2335;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;10316;"Steinbrunn";2279;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;10317;"Trausdorf an der Wulka";1711;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;10318;"Wimpassing an der Leitha";1249;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;10319;"Wulkaprodersdorf";1438;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;10320;"Loretto";432;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;10321;"Stotzing";625;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;10322;"Zillingtal";785;669;6;663;140;202;190;43;52;36
103;10323;"Zagersdorf";854;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;10401;"Bocksdorf";680;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;10402;"Burgauberg-Neudauberg";1106;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;10403;"Eberau";723;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;10404;"Gerersdorf-Sulz";831;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;10405;"Güssing";2825;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;10406;"Güttenbach";713;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;10407;"Heiligenbrunn";614;515;7;508;201;115;138;15;24;15
104;10408;"Kukmirn";1641;1285;16;1269;400;266;418;51;73;61
104;10409;"Neuberg im Burgenland";804;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;10410;"Neustift bei Güssing";373;310;4;306;50;133;91;9;8;15
104;10411;"Olbendorf";1181;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;10412;"Ollersdorf im Burgenland";788;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;10413;"Sankt Michael im Burgenland";833;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;10414;"Stegersbach";2127;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;10415;"Stinatz";898;793;12;781;201;374;105;37;32;32
104;10416;"Strem";765;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;10417;"Tobaj";1093;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;10418;"Hackerberg";300;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;10419;"Wörterberg";404;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;10420;"Großmürbisch";205;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;10421;"Inzenhof";272;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;10422;"Kleinmürbisch";208;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;10423;"Tschanigraben";55;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;10424;"Heugraben";193;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;10425;"Rohr im Burgenland";325;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;10426;"Bildein";263;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;10427;"Rauchwart";399;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;10428;"Moschendorf";310;267;4;263;114;63;60;8;12;6
105;10501;"Deutsch Kaltenbrunn";1421;1145;13;1132;262;289;400;49;71;61
105;10502;"Eltendorf";754;NA;NA;NA;NA;NA;NA;NA;NA;NA
105;10503;"Heiligenkreuz im Lafnitztal";972;NA;NA;NA;NA;NA;NA;NA;NA;NA
105;10504;"Jennersdorf";3428;NA;NA;NA;NA;NA;NA;NA;NA;NA
105;10505;"Minihof-Liebau";855;NA;NA;NA;NA;NA;NA;NA;NA;NA
105;10506;"Mogersdorf";882;NA;NA;NA;NA;NA;NA;NA;NA;NA
105;10507;"Neuhaus am Klausenbach";724;NA;NA;NA;NA;NA;NA;NA;NA;NA
105;10508;"Rudersdorf";1841;NA;NA;NA;NA;NA;NA;NA;NA;NA
105;10509;"Sankt Martin an der Raab";1658;NA;NA;NA;NA;NA;NA;NA;NA;NA
105;10510;"Weichselbaum";586;NA;NA;NA;NA;NA;NA;NA;NA;NA
105;10511;"Königsdorf";653;NA;NA;NA;NA;NA;NA;NA;NA;NA
105;10512;"Mühlgraben";326;NA;NA;NA;NA;NA;NA;NA;NA;NA
106;10601;"Draßburg";911;NA;NA;NA;NA;NA;NA;NA;NA;NA
106;10602;"Forchtenstein";2247;NA;NA;NA;NA;NA;NA;NA;NA;NA
106;10603;"Hirm";777;NA;NA;NA;NA;NA;NA;NA;NA;NA
106;10604;"Loipersbach im Burgenland";964;NA;NA;NA;NA;NA;NA;NA;NA;NA
106;10605;"Marz";1649;1414;23;1391;408;375;384;66;112;46
106;10606;"Mattersburg";5750;NA;NA;NA;NA;NA;NA;NA;NA;NA
106;10607;"Neudörfl";3700;NA;NA;NA;NA;NA;NA;NA;NA;NA
106;10608;"Pöttelsdorf";634;NA;NA;NA;NA;NA;NA;NA;NA;NA
106;10609;"Pöttsching";2470;NA;NA;NA;NA;NA;NA;NA;NA;NA
106;10610;"Rohrbach bei Mattersburg";2037;NA;NA;NA;NA;NA;NA;NA;NA;NA
106;10611;"Bad Sauerbrunn";1772;NA;NA;NA;NA;NA;NA;NA;NA;NA
106;10612;"Schattendorf";1867;NA;NA;NA;NA;NA;NA;NA;NA;NA
106;10613;"Sieggraben";984;842;12;830;291;206;269;13;28;23
106;10614;"Sigleß";979;837;9;828;177;312;182;46;55;56
106;10615;"Wiesen";2217;NA;NA;NA;NA;NA;NA;NA;NA;NA
106;10616;"Antau";635;NA;NA;NA;NA;NA;NA;NA;NA;NA
106;10617;"Baumgarten";712;NA;NA;NA;NA;NA;NA;NA;NA;NA
106;10618;"Zemendorf-Stöttera";1021;NA;NA;NA;NA;NA;NA;NA;NA;NA
106;10619;"Krensdorf";487;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;10701;"Andau";1863;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;10702;"Apetlon";1500;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;10703;"Bruckneudorf";2355;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;10704;"Deutsch Jahrndorf";450;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;10705;"Frauenkirchen";2362;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;10706;"Gattendorf";1001;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;10707;"Gols";3178;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;10708;"Halbturn";1551;1279;19;1260;474;258;343;46;77;62
107;10709;"Illmitz";1980;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;10710;"Jois";1296;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;10711;"Kittsee";1461;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;10712;"Mönchhof";1810;1455;25;1430;498;292;435;47;88;70
107;10713;"Neusiedl am See";6321;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;10714;"Nickelsdorf";1230;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;10715;"Pama";847;730;6;724;273;197;166;13;45;30
107;10716;"Pamhagen";1296;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;10717;"Parndorf";3447;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;10718;"Podersdorf am See";1739;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;10719;"Sankt Andrä am Zicksee";1144;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;10720;"Tadten";942;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;10721;"Wallern im Burgenland";1384;1142;32;1110;307;360;330;39;37;37
107;10722;"Weiden am See";1988;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;10723;"Winden am See";1092;892;11;881;193;230;305;51;53;49
107;10724;"Zurndorf";1696;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;10725;"Neudorf";625;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;10726;"Potzneusiedl";469;371;6;365;76;95;154;10;18;12
107;10727;"Edelstal";470;NA;NA;NA;NA;NA;NA;NA;NA;NA
108;10801;"Deutschkreutz";2510;NA;NA;NA;NA;NA;NA;NA;NA;NA
108;10802;"Draßmarkt";1113;NA;NA;NA;NA;NA;NA;NA;NA;NA
108;10803;"Frankenau-Unterpullendorf";894;NA;NA;NA;NA;NA;NA;NA;NA;NA
108;10804;"Großwarasdorf";1126;NA;NA;NA;NA;NA;NA;NA;NA;NA
108;10805;"Horitschon";1457;1213;14;1199;422;310;322;40;66;39
108;10806;"Kaisersdorf";488;NA;NA;NA;NA;NA;NA;NA;NA;NA
108;10807;"Kobersdorf";1577;1322;19;1303;314;466;373;36;60;54
108;10808;"Lackenbach";919;715;13;702;220;210;180;21;31;40
108;10809;"Lockenhaus";1629;NA;NA;NA;NA;NA;NA;NA;NA;NA
108;10810;"Lutzmannsburg";671;NA;NA;NA;NA;NA;NA;NA;NA;NA
108;10811;"Mannersdorf an der Rabnitz";1408;NA;NA;NA;NA;NA;NA;NA;NA;NA
108;10812;"Markt Sankt Martin";1033;897;13;884;272;281;206;41;46;38
108;10813;"Neckenmarkt";1412;NA;NA;NA;NA;NA;NA;NA;NA;NA
108;10814;"Neutal";903;NA;NA;NA;NA;NA;NA;NA;NA;NA
108;10815;"Nikitsch";1130;NA;NA;NA;NA;NA;NA;NA;NA;NA
108;10816;"Oberpullendorf";2584;NA;NA;NA;NA;NA;NA;NA;NA;NA
108;10817;"Pilgersdorf";1315;1075;9;1066;450;221;271;39;54;31
108;10818;"Piringsdorf";692;585;4;581;173;216;114;22;29;27
108;10819;"Raiding";760;NA;NA;NA;NA;NA;NA;NA;NA;NA
108;10820;"Ritzing";753;NA;NA;NA;NA;NA;NA;NA;NA;NA
108;10821;"Steinberg-Dörfl";1040;NA;NA;NA;NA;NA;NA;NA;NA;NA
108;10822;"Stoob";1099;901;10;891;211;368;209;29;44;30
108;10823;"Weppersdorf";1569;NA;NA;NA;NA;NA;NA;NA;NA;NA
108;10824;"Lackendorf";477;NA;NA;NA;NA;NA;NA;NA;NA;NA
108;10825;"Unterfrauenhaid";525;NA;NA;NA;NA;NA;NA;NA;NA;NA
108;10826;"Unterrabnitz-Schwendgraben";517;NA;NA;NA;NA;NA;NA;NA;NA;NA
108;10827;"Weingraben";266;NA;NA;NA;NA;NA;NA;NA;NA;NA
108;10828;"Oberloisdorf";630;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;10901;"Bad Tatzmannsdorf";1268;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;10902;"Bernstein";1766;1470;30;1440;389;504;393;50;69;35
109;10903;"Deutsch Schützen-Eisenberg";903;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;10904;"Grafenschachen";1036;871;38;833;199;274;292;12;31;25
109;10905;"Großpetersdorf";2868;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;10906;"Hannersdorf";599;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;10907;"Kemeten";1234;972;14;958;173;255;374;30;71;55
109;10908;"Kohfidisch";1200;960;15;945;306;240;283;23;64;29
109;10909;"Litzelsdorf";950;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;10910;"Loipersdorf-Kitzladen";1084;908;12;896;228;295;285;17;33;38
109;10911;"Mariasdorf";978;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;10912;"Markt Allhau";1580;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;10913;"Markt Neuhodis";552;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;10914;"Mischendorf";1256;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;10915;"Oberdorf im Burgenland";827;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;10916;"Oberschützen";1882;1486;22;1464;430;330;419;114;106;65
109;10917;"Oberwart";5671;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;10918;"Pinkafeld";4505;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;10919;"Rechnitz";2358;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;10920;"Riedlingsdorf";1310;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;10921;"Rotenturm an der Pinka";1140;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;10922;"Schachendorf";542;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;10923;"Stadtschlaining";1632;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;10924;"Unterkohlstätten";793;708;12;696;231;246;153;12;34;20
109;10925;"Unterwart";676;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;10926;"Weiden bei Rechnitz";681;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;10927;"Wiesfleck";984;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;10928;"Wolfau";1179;966;11;955;291;212;309;44;63;36
