gkz;nuts;gem;cluster2;cluster3
30101;AT124;Krems an der Donau;1;1
30201;AT123;St. Pölten;1;1
30301;AT121;Waidhofen an der Ybbs;2;2
30401;AT122;Wiener Neustadt;1;1
30501;AT121;Allhartsberg;2;2
30502;AT121;Amstetten;1;1
30503;AT121;Ardagger;2;2
30504;AT121;Aschbach-Markt;2;2
30506;AT121;Behamberg;2;2
30507;AT121;Biberbach;2;2
30508;AT121;Ennsdorf;1;1
30509;AT121;Ernsthofen;1;1
30510;AT121;Ertl;2;2
30511;AT121;Euratsfeld;2;2
30512;AT121;Ferschnitz;2;2
30514;AT121;Haag;2;2
30515;AT121;Haidershofen;2;2
30516;AT121;Hollenstein an der Ybbs;2;2
30517;AT121;Kematen an der Ybbs;1;1
30520;AT121;Neuhofen an der Ybbs;2;2
30521;AT121;Neustadtl an der Donau;2;2
30522;AT121;Oed-Oehling;2;2
30524;AT121;Opponitz;2;2
30526;AT121;St. Georgen am Reith;2;2
30527;AT121;St. Georgen am Ybbsfelde;2;2
30529;AT121;St. Pantaleon-Erla;1;1
30530;AT121;St. Peter in der Au;2;2
30531;AT121;St. Valentin;1;1
30532;AT121;Seitenstetten;2;2
30533;AT121;Sonntagberg;1;1
30534;AT121;Strengberg;2;2
30536;AT121;Viehdorf;2;2
30538;AT121;Wallsee-Sindelburg;2;2
30539;AT121;Weistrach;2;2
30541;AT121;Winklarn;2;2
30542;AT121;Wolfsbach;2;2
30543;AT121;Ybbsitz;2;2
30544;AT121;Zeillern;2;2
30601;AT127;Alland;2;3
30602;AT122;Altenmarkt an der Triesting;2;2
30603;AT127;Bad Vöslau;1;1
30604;AT127;Baden;2;3
30605;AT122;Berndorf;1;1
30607;AT127;Ebreichsdorf;1;1
30608;AT122;Enzesfeld-Lindabrunn;1;1
30609;AT122;Furth an der Triesting;2;2
30612;AT127;Günselsdorf;1;1
30613;AT127;Heiligenkreuz;2;3
30614;AT122;Hernstein;2;2
30615;AT122;Hirtenberg;1;1
30616;AT127;Klausen-Leopoldsdorf;2;3
30618;AT127;Kottingbrunn;1;1
30620;AT127;Leobersdorf;1;1
30621;AT127;Mitterndorf an der Fischa;1;1
30623;AT127;Oberwaltersdorf;1;1
30625;AT127;Pfaffstätten;2;3
30626;AT127;Pottendorf;1;1
30627;AT122;Pottenstein;1;1
30629;AT127;Reisenberg;1;1
30631;AT127;Schönau an der Triesting;1;1
30633;AT127;Seibersdorf;2;3
30635;AT127;Sooß;2;3
30636;AT127;Tattendorf;2;3
30637;AT127;Teesdorf;1;1
30639;AT127;Traiskirchen;1;1
30641;AT127;Trumau;1;1
30645;AT122;Weissenbach an der Triesting;1;1
30646;AT127;Blumau-Neurißhof;1;1
30701;AT127;Au am Leithaberge;2;3
30702;AT127;Bad Deutsch-Altenburg;1;1
30703;AT127;Berg;2;3
30704;AT127;Bruck an der Leitha;1;1
30706;AT127;Enzersdorf an der Fischa;1;1
30708;AT127;Göttlesbrunn-Arbesthal;2;3
30709;AT127;Götzendorf an der Leitha;1;1
30710;AT127;Hainburg a.d. Donau;2;3
30711;AT127;Haslau-Maria Ellend;1;1
30712;AT127;Höflein;2;3
30713;AT127;Hof am Leithaberge;2;3
30715;AT127;Hundsheim;1;1
30716;AT127;Mannersdorf am Leithagebirge;1;1
30718;AT127;Petronell-Carnuntum;1;1
30719;AT127;Prellenkirchen;2;3
30721;AT127;Rohrau;2;3
30722;AT127;Scharndorf;2;3
30724;AT127;Sommerein;1;1
30726;AT127;Trautmannsdorf an der Leitha;1;1
30728;AT127;Wolfsthal;2;3
30729;AT127;Ebergassing;1;1
30730;AT127;Fischamend;1;1
30731;AT127;Gramatneusiedl;1;1
30732;AT127;Himberg;1;1
30733;AT127;Klein-Neusiedl;1;1
30734;AT127;Lanzendorf;1;1
30735;AT127;Leopoldsdorf;1;1
30736;AT127;Maria-Lanzendorf;1;1
30737;AT127;Moosbrunn;1;1
30738;AT127;Rauchenwarth;2;3
30739;AT127;Schwadorf;1;1
30740;AT127;Schwechat;1;1
30741;AT127;Zwölfaxing;1;1
30801;AT126;Aderklaa;2;3
30802;AT126;Andlersdorf;2;3
30803;AT126;Angern an der March;1;1
30804;AT126;Auersthal;2;3
30805;AT126;Bad Pirawarth;2;3
30808;AT126;Deutsch-Wagram;1;1
30810;AT125;Drösing;1;1
30811;AT125;Dürnkrut;1;1
30812;AT126;Ebenthal;2;3
30813;AT126;Eckartsau;2;3
30814;AT126;Engelhartstetten;2;3
30817;AT126;Gänserndorf;1;1
30819;AT126;Glinzendorf;2;3
30821;AT126;Groß-Enzersdorf;1;1
30822;AT126;Großhofen;2;3
30824;AT126;Groß-Schweinbarth;2;3
30825;AT126;Haringsee;2;3
30826;AT125;Hauskirchen;2;2
30827;AT125;Hohenau an der March;1;1
30828;AT126;Hohenruppersdorf;2;3
30829;AT125;Jedenspeigen;2;2
30830;AT126;Lassee;1;1
30831;AT126;Leopoldsdorf im Marchfeld;1;1
30834;AT126;Mannsdorf an der Donau;2;3
30835;AT126;Marchegg;1;1
30836;AT126;Markgrafneusiedl;1;1
30838;AT126;Matzen-Raggendorf;1;1
30841;AT125;Neusiedl an der Zaya;2;2
30842;AT126;Obersiebenbrunn;1;1
30844;AT126;Orth an der Donau;2;3
30845;AT125;Palterndorf-Dobermannsdorf;2;2
30846;AT126;Parbasdorf;2;3
30848;AT126;Prottes;1;1
30849;AT126;Raasdorf;2;3
30850;AT125;Ringelsdorf-Niederabsdorf;1;1
30852;AT126;Schönkirchen-Reyersdorf;2;3
30854;AT126;Spannberg;2;3
30856;AT126;Strasshof an der Nordbahn;1;1
30857;AT125;Sulz im Weinviertel;2;2
30858;AT126;Untersiebenbrunn;1;1
30859;AT126;Velm-Götzendorf;2;3
30860;AT126;Weikendorf;1;1
30863;AT125;Zistersdorf;2;2
30865;AT126;Weiden an der March;2;3
30902;AT124;Amaliendorf-Aalfang;1;1
30903;AT124;Brand-Nagelberg;1;1
30904;AT124;Eggern;2;2
30906;AT124;Eisgarn;2;2
30908;AT124;Gmünd;1;1
30909;AT124;Großdietmanns;2;2
30910;AT124;Bad Großpertholz;2;2
30912;AT124;Großschönau;2;2
30913;AT124;Moorbad Harbach;2;2
30915;AT124;Haugschlag;2;2
30916;AT124;Heidenreichstein;1;1
30917;AT124;Hirschbach;1;1
30920;AT124;Hoheneich;1;1
30921;AT124;Kirchberg am Walde;2;2
30925;AT124;Litschau;2;2
30929;AT124;Reingers;2;2
30932;AT124;St. Martin;2;2
30935;AT124;Schrems;1;1
30939;AT124;Unserfrau-Altweitra;2;2
30940;AT124;Waldenstein;2;2
30942;AT124;Weitra;2;2
31001;AT125;Alberndorf im Pulkautal;2;2
31008;AT125;Göllersdorf;2;2
31009;AT125;Grabern;2;2
31014;AT125;Guntersdorf;2;2
31015;AT125;Hadres;2;2
31016;AT125;Hardegg;2;2
31018;AT125;Haugsdorf;2;2
31019;AT125;Heldenberg;2;2
31021;AT125;Hohenwarth-Mühlbach a.M.;2;2
31022;AT125;Hollabrunn;2;2
31025;AT125;Mailberg;1;1
31026;AT125;Maissau;2;2
31028;AT125;Nappersdorf-Kammersdorf;2;2
31033;AT125;Pernersdorf;2;2
31035;AT125;Pulkau;2;2
31036;AT125;Ravelsbach;2;2
31037;AT125;Retz;2;2
31038;AT125;Retzbach;2;2
31041;AT125;Schrattenthal;2;2
31042;AT125;Seefeld-Kadolz;1;1
31043;AT125;Sitzendorf an der Schmida;2;2
31051;AT125;Wullersdorf;2;2
31052;AT125;Zellerndorf;2;2
31053;AT125;Ziersdorf;2;2
31101;AT124;Altenburg;2;2
31102;AT124;Brunn an der Wild;2;2
31103;AT124;Burgschleinitz-Kühnring;2;2
31104;AT124;Drosendorf-Zissersdorf;2;2
31105;AT124;Eggenburg;2;2
31106;AT124;Gars am Kamp;2;2
31107;AT124;Geras;2;2
31109;AT124;Horn;2;2
31110;AT124;Irnfritz-Messern;2;2
31111;AT124;Japons;2;2
31113;AT124;Langau;2;2
31114;AT124;Meiseldorf;2;2
31117;AT124;Pernegg;2;2
31119;AT124;Röhrenbach;2;2
31120;AT124;Röschitz;2;2
31121;AT124;Rosenburg-Mold;2;2
31123;AT124;St. Bernhard-Frauenhofen;2;2
31124;AT124;Sigmundsherberg;1;1
31129;AT124;Weitersfeld;2;2
31130;AT124;Straning-Grafenberg;2;2
31201;AT126;Bisamberg;2;3
